,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude
499,"ул. новгородская, 14 корпус 2",1983,127,1,16,5811.0,55.896191,37.582358
500,"ташкентский пер., 1",1968,215,6,9,7250.0,55.707197,37.819702
501,"ул. ереванская, 6 корпус 3",1965,80,4,5,3542.0,55.628749,37.668273
502,"сивцев вражек пер., 21",1928,46,3,7,2772.0,55.747267,37.593381
503,"ул. батюнинская, 12",1986,96,2,12,5490.9,55.659673,37.704583
504,"серебрякова проезд, 9 корпус 3",1967,83,1,12,2270.0,55.848887,37.647073
505,"ул. елецкая, 22/25",1977,382,8,12,15144.0,55.605175,37.733581
506,"жемчуговой аллея, 5 корпус 4",2000,258,4,17,14800.0,55.732099,37.825496
507,"пр-кт мира, 112",1960,340,7,9,21647.0,55.805943,37.637847
508,"ул. флотская, 23 корпус 1",2001,87,1,22,4979.8,55.860428,37.512999
509,"ул. 1-я курьяновская, 23",1951,12,2,2,654.2,55.654315,37.703388
510,"пр-кт мира, 108",1959,392,11,10,28184.0,55.803535,37.63765
511,"ул. степана шутова, 8 корпус 1",1963,80,4,5,3518.5,55.674813,37.811141
512,"п. сосенское, 28 кв-л, 1 корпус 4",2021,687,10,15,34504.3,55.60104,37.413763
513,"ул. 1812 года, 12",1963,171,6,8,7079.0,55.741764,37.520348
514,"походный, 11 корпус 1",1974,98,1,14,4290.0,55.839082,37.416125
515,"пр-кт ленинский, 121/1 корпус 3",1993,138,1,25,9385.0,55.649251,37.484397
516,"ул. руставели, 6а корпус 1",1961,80,4,5,3433.0,55.811644,37.588305
517,"ул. космонавтов, 7",1971,153,1,14,7911.0,55.821765,37.65426
518,"ш. каширское, 122",1996,154,1,24,4933.0,55.605902,37.71813
519,"ул. маршала неделина, 34 корпус 3",1957,40,2,5,2565.0,55.725057,37.421111
520,"ул. ефремова, 20",1929,70,4,5,2486.0,55.722314,37.568605
521,"ул. михайлова, 8",1965,68,1,9,2461.0,55.728216,37.763962
522,"ермолаевский пер., 6",1983,8,1,4,633.0,55.763356,37.589958
523,"ул. ферганская, 13 корпус 3",2019,35,1,9,1636.0,55.708481,37.813315
524,"осенний б-р, 5 корпус 2",1985,272,4,17,17227.0,55.756254,37.405489
525,"ул. лебедянская, 19",1983,190,4,12,8660.4,55.58726,37.672477
526,"ул. арбат, 49",1900,15,2,6,1439.7,55.747981,37.587272
527,"сивцев вражек пер., 31/13",1965,48,1,9,2691.0,55.746897,37.590183
528,"ш. энтузиастов, 76/1",1958,300,8,10,20631.3,55.764465,37.785971
529,"ул. щербаковская, 48",1969,84,1,12,3696.9,55.781372,37.736563
530,"ул. студенческая, 39",1936,61,6,5,4724.0,55.738389,37.538925
531,"ул. металлургов, 32 корпус 2",1966,80,4,5,2387.0,55.758478,37.793642
532,"ул. большая филевская, 41 корпус 5",1960,60,3,5,2503.1,55.740553,37.477741
533,"ул. академика пилюгина, 14 корпус 2",1987,606,4,18,55495.0,55.66994,37.536032
534,"ул. маршала конева, 7",1954,37,3,5,1813.2,55.796855,37.489428
535,"ул. перекопская, 27 корпус 2",1963,60,3,5,2574.8,55.660089,37.565317
536,"ул. кооперативная, 3 корпус 5",1926,42,2,5,2661.0,55.724682,37.568866
537,"ул. гризодубовой, 1 корпус 4",2006,64,1,17,4644.2,55.781595,37.532107
538,"ул. зацепский вал, 6/13 строение 1",1963,66,1,9,2419.7,55.732849,37.639464
539,"ул. дубнинская, 10 корпус 3",1971,213,6,9,10427.7,55.863783,37.570222
540,"ш. варшавское, 141а корпус 4",2019,224,3,16,12665.0,55.584512,37.604502
541,"ул. кольская, 9",1960,36,3,4,1252.0,55.861312,37.645447
542,"лазаревский пер., 4",1978,142,4,9,7023.0,55.790833,37.61247
543,"ул. оренбургская, 13 корпус 2",1973,144,4,9,6943.4,55.71409,37.86045
544,"ул. 3-я хорошевская, 5 корпус 1",1960,60,3,5,2501.7,55.77876,37.500845
545,"новочеркасский б-р, 53",1991,128,2,17,7306.0,55.64857,37.740165
546,"ул. рождественская, 25",2013,128,2,17,7304.6,55.706695,37.922398
547,"ул. вагоноремонтная, 9/25",1965,120,6,5,4993.0,55.897518,37.534838
548,"одоевского проезд, 3 корпус 7",1998,138,1,24,8240.0,55.600165,37.508858
549,"ул. фортунатовская, 10",2010,124,1,17,7775.0,55.789385,37.737165
550,"ул. чусовская, 7",1970,112,1,14,5458.5,55.813162,37.810827
551,"осенний б-р, 18 корпус 1",1984,128,2,17,6917.0,55.761766,37.40866
552,"ш. загородное, 11 корпус 2",1964,130,3,5,2815.4,55.692221,37.605715
553,"пр-кт мичуринский, 50",1971,98,1,14,4233.0,55.695296,37.488925
554,"пр-кт балаклавский, 4 корпус 5",1962,72,1,9,2586.3,55.643637,37.616099
555,"ул. медиков, 26 корпус 1",1966,60,3,5,2571.0,55.632728,37.68102
556,"ул. старый гай, 2 корпус 4",1971,215,6,9,10616.0,55.741541,37.826988
557,"куркинское, 17 корпус 9",2005,21,1,5,1580.4,55.88459,37.393362
558,"одоевского проезд, 3 корпус 4",1981,128,2,16,8119.0,55.601813,37.509191
559,"ул. барклая, 16 корпус 1",1966,128,4,9,5490.0,55.745863,37.496614
560,"ул. чистопольская, 2 корпус 2",1960,60,4,5,2107.0,55.730583,37.758249
561,"ул. большая марьинская, 23",1962,60,3,5,2585.0,55.809596,37.634434
562,"ул. мастеровая, 13",1963,60,3,5,2517.7,55.744515,37.756057
563,"ул. 800-летия москвы, 12",1984,260,4,17,8278.0,55.877137,37.543794
564,"ш. дмитровское, 151 корпус 5",1958,115,1,5,2097.9,55.89665,37.541099
565,"бескудниковский б-р, 2 корпус 1",1999,320,5,17,17601.2,55.857291,37.563332
566,"ул. лавочкина, 54 корпус 1",1968,143,4,9,7138.1,55.864601,37.487209
567,"ул. 3-я мытищинская, 14а",1955,139,5,8,9846.0,55.803975,37.645582
568,"ул. большая академическая, 12/18 корпус 2",1963,60,3,5,2499.4,55.821183,37.526977
569,"курсовой пер., 6/1",1998,16,2,5,2688.7,55.741039,37.605409
570,"большой кондратьевский пер., 6",1963,100,1,8,2146.5,55.773165,37.583463
571,"ул. свободы, 83 корпус 1",1965,100,5,5,4446.3,55.863187,37.446533
572,"ул. бурденко, 10",2002,17,1,6,2387.1,55.738885,37.58323
573,"ул. вавилова, 49 корпус 1",1950,55,3,5,3831.2,55.693302,37.564859
574,"ул. харьковская, 3 корпус 1",1975,108,1,16,5119.2,55.586283,37.649948
575,"ул. свободы, 4 строение 1",1958,84,6,5,4547.6,55.824162,37.451914
576,"ул. малышева, 2",1969,84,1,12,3633.7,55.703672,37.741019
577,"ул. минусинская, 3",1967,141,4,9,7083.0,55.87188,37.69401
578,"пр-кт ленинградский, 33 корпус 8",1957,60,3,5,2415.0,55.786632,37.559523
579,"ул. черкизовская б., 5 корпус 1",1965,288,9,9,12927.1,55.797463,37.720609
580,"пр-кт нахимовский, 47 корпус 2",2009,66,1,22,8254.0,55.674605,37.568497
581,"ул. уральская, 12/21",1968,208,6,9,10350.1,55.818154,37.799149
582,"ул. фабрициуса, 6 строение 1",1972,287,8,9,12301.0,55.845284,37.451618
583,"ул. новогиреевская, 54",1990,331,7,16,17953.0,55.747687,37.800631
584,"ул. ельнинская, 12 корпус 2",1963,114,1,9,2579.4,55.737674,37.427902
585,"ул. арбат, 47/23",1910,16,1,6,1844.7,55.748057,37.587533
586,"ул. вешняковская, 15 корпус 3",1971,144,4,9,4988.5,55.735616,37.835369
587,"пр-кт ломоносовский, 14",1953,584,14,16,38927.4,55.69109,37.542958
588,"ул. земляной вал, 27 строение 1",1930,71,5,8,4795.8,55.75896,37.658302
589,"ш. ярославское, 140",1961,59,3,5,2448.0,55.87496,37.717986
590,"п. новофедоровское, ул. вышгородская, 25",2018,90,3,3,4111.7,55.499968,36.917354
591,"ул. совхозная, 16 корпус 1",1976,91,1,14,3958.7,55.679088,37.765282
592,"ул. сталеваров, 14 корпус 4",1970,180,5,9,7936.0,55.757713,37.83766
593,"сумской проезд, 21 корпус 4",1973,98,1,14,4226.1,55.629755,37.593291
594,"ул. шипиловская, 17 корпус 2",1976,60,2,9,3462.1,55.620743,37.707233
595,"ул. сеславинская, 4",1962,80,4,5,3426.0,55.745899,37.501672
596,"ул. малая семеновская, 15/17 корпус 2",1933,29,5,5,1950.1,55.786318,37.715318
597,"сибирский проезд, 2/26",1957,42,3,5,2820.0,55.731379,37.68332
598,"ул. сталеваров, 26 корпус 2",1975,180,5,9,7824.0,55.75243,37.83739
599,"ул. островная, 16",2004,2,1,2,283.0,55.760454,37.445311
600,"ул. архитектора власова, 5 корпус 2",1960,80,4,5,3517.9,55.679752,37.555166
601,"карамышевская, 20 корпус 1",2002,122,3,17,11378.3,55.769631,37.47916
602,"ул. семеновский вал, 10 корпус 5",1946,21,2,2,785.0,55.777575,37.712946
603,"ул. днепропетровская, 39",1975,287,8,9,13945.0,55.615268,37.590165
604,"ул. новая башиловка, 4",1962,64,1,9,2676.1,55.786207,37.568327
605,"ул. давыдковская, 4 корпус 1",1966,132,8,5,7292.1,55.723749,37.47801
606,"пр-кт кутузовский, 69 корпус 4",1958,24,2,4,1314.1,55.723252,37.454169
607,"ул. архитектора власова, 21 корпус 1",1960,80,4,5,3504.1,55.675458,37.549309
608,"пр-кт севастопольский, 9 корпус 1",1967,68,1,9,2429.0,55.691232,37.60752
609,"жемчуговой аллея, 5 корпус 2",1972,425,12,9,13517.9,55.734344,37.821858
610,"ул. чоботовская, 3",1989,406,6,17,25936.0,55.641778,37.354393
611,"ул. коровий вал, 7 строение 1",1980,227,8,13,35138.0,55.728697,37.616926
612,"ул. херсонская, 8",1964,97,5,5,4371.0,55.650841,37.575711
613,"чонгарский б-р, 14 корпус 3",1963,80,4,5,3433.0,55.654772,37.611599
614,"ул. мастеровая, 7",1962,60,3,5,2543.5,55.744814,37.758302
615,"филипповский пер., 8 строение 1",2002,71,1,9,14533.4,55.748579,37.598555
616,"ул. адмирала лазарева, 36",2001,132,4,12,10999.0,55.546261,37.527615
617,"ул. булатниковская, 5 корпус 2",1973,142,4,9,6824.8,55.579261,37.653173
618,"ул. демьяна бедного, 3 корпус 7",1959,60,3,5,2552.7,55.772299,37.4826
619,"пр-кт волгоградский, 127 корпус 2",1962,60,3,5,2559.0,55.706507,37.769837
620,"ул. станиславского, 11",2009,54,5,6,6768.4,55.744774,37.659865
621,"бескудниковский б-р, 48 корпус 5",1964,80,4,5,3546.0,55.874556,37.542186
622,"ул. рочдельская, 14/20 корпус 1",1956,11,2,5,1144.7,55.757404,37.568641
623,"ул. маршала соколовского, 1",2005,204,1,20,16079.0,55.795535,37.493111
624,"ш. сколковское, 11",1974,98,1,14,4230.0,55.712061,37.406926
625,"ул. аргуновская, 10 корпус 1",1973,143,3,12,7289.0,55.816384,37.621354
626,"ул. херсонская, 36 корпус 4",1963,80,4,5,3531.6,55.656306,37.563404
627,"ул. спортивная, 11",1940,3,3,1,122.0,55.60995,37.668282
628,"ул. зеленоградская, 19",1976,98,1,14,4226.8,55.872365,37.498644
629,"ш. каширское, 38",1963,72,1,9,2558.7,55.649276,37.660215
630,"глинистый пер., 12",1966,84,1,12,3682.6,55.786996,37.638045
631,"будайский проезд, 6 корпус 1",1964,60,3,5,2453.0,55.835751,37.667743
632,"ул. малая филевская, 10 корпус 2",1961,65,3,5,2661.7,55.739169,37.475028
633,"ул. зверинецкая, 23/8",1971,84,1,12,3663.4,55.7848,37.733985
634,"ул. касимовская, 41",1979,144,4,9,7166.1,55.591299,37.661823
635,"юрловский проезд, 14 корпус 1",2011,424,7,17,24841.0,55.877738,37.612919
636,"ул. митинская, 21 корпус 1",1994,191,4,12,12218.0,55.842747,37.364418
637,"ул. молдагуловой, 16 корпус 2",1970,286,8,9,9657.0,55.722497,37.816711
638,"ул. новощукинская, 22",1965,84,1,12,3618.4,55.806843,37.451088
639,"ул. туристская, 25 корпус 1",1981,176,4,12,8004.7,55.854911,37.420356
640,"ул. 11-я парковая, 48 корпус 3",1971,98,1,14,4285.0,55.806631,37.806497
641,"ш. энтузиастов, 52",1958,112,4,8,7899.4,55.759132,37.760584
642,"ул. тимирязевская, 34 корпус 1",1965,84,1,12,3642.5,55.821937,37.560134
643,"ш. ленинградское, 44",1963,70,1,9,2938.1,55.83248,37.487685
644,"ул. планетная, 14",1966,100,5,5,4141.0,55.801151,37.54983
645,"ул. вишневая, 10",1963,72,1,9,2542.8,55.831423,37.448393
646,"ул. 15-я парковая, 40 корпус 1",1965,67,1,9,2427.0,55.805073,37.81919
647,"сиреневый б-р, 3 корпус 5",1967,138,4,9,6850.0,55.803762,37.769936
648,"ул. ливенская, 2",1972,80,4,5,3539.0,55.54619,37.561796
649,"ул. новочеремушкинская, 34 корпус 1",2005,222,3,24,20433.5,55.677331,37.571552
650,"ул. полбина, 52",1995,233,5,14,14285.1,55.676925,37.725855
651,"ул. никулинская, 8 корпус 3",2019,258,2,25,14849.9,55.668945,37.467374
652,"пр-кт ленинградский, 74 корпус 4",1961,115,4,8,8356.5,55.805862,37.518937
653,"ул. большая пионерская, 37/38",1976,108,3,9,5528.2,55.725569,37.635287
654,"ул. большая черемушкинская, 16",1963,80,4,5,3448.2,55.684061,37.589985
655,"гранатный пер., 11 строение 3",1910,4,2,4,393.7,55.759684,37.58879
656,"пр-кт маршала жукова, 14 корпус 2",1959,48,4,4,2663.9,55.776917,37.494225
657,"пр-кт волгоградский, 101 корпус 2",1962,60,3,5,2556.8,55.708749,37.754574
658,"ул. инициативная, 16 корпус 1",1958,24,2,4,1309.5,55.716017,37.454591
659,"ул. бестужевых, 25",1976,111,1,16,5337.0,55.871678,37.611006
660,"п. внуковское, ул. омская, 14 корпус 2",2017,186,3,16,7806.6,55.621236,37.265298
661,"ул. коминтерна, 26",1956,48,3,4,3327.0,55.866243,37.683661
662,"ул. героев панфиловцев, 45 корпус 2",1967,60,3,5,2559.9,55.853299,37.411023
663,"ул. беловежская, 37",2008,160,2,20,9681.1,55.711432,37.393317
664,"чечерский проезд, 64",1997,112,6,9,6933.2,55.532564,37.526384
665,"окружной проезд, 11 корпус 7",1958,28,3,5,2431.3,55.792265,37.742573
666,"ул. магаданская, 8",1963,67,4,5,2843.0,55.87898,37.686195
667,"ул. волочаевская, 6",1975,111,1,16,5330.0,55.757369,37.683841
668,"ул. михневская, 17",1973,144,4,9,7150.1,55.57979,37.664896
669,"2-й хвостов пер., 10 корпус 2",1933,30,3,5,1934.5,55.73517,37.61547
670,"ул. 15-я парковая, 46 корпус 10",1964,80,4,5,3538.7,55.808311,37.826269
671,"ул. 2-я новоостанкинская, 19",1969,112,1,14,5451.0,55.815554,37.624373
672,"ул. привольная, 27 корпус 1",1999,152,4,10,8412.0,55.695261,37.849481
673,"ул. гришина, 2 корпус 2",2004,104,2,14,4767.0,55.720945,37.421524
674,"ул. бориса жигуленкова, 10",1974,143,4,9,7149.8,55.76959,37.734731
675,"осенний б-р, 7 корпус 2",1985,256,4,17,14003.0,55.758225,37.405759
676,"ул. байкальская, 35 корпус 4",1999,140,3,17,12829.3,55.819069,37.812776
677,"ул. демьяна бедного, 4",1979,144,4,9,7149.9,55.770401,37.48693
678,"ул. 4-я сокольническая, 3",1975,214,2,12,8840.41,55.786642,37.68668
679,"ул. коштоянца, 1а",1965,80,1,12,3468.0,55.679235,37.492671
680,"п. десеновское, ул. дмитрия рябинкина, 2 корпус 2",1993,136,2,17,5152.3,55.509028,37.329671
681,"кавказский б-р, 44 корпус 3",1963,60,3,5,2582.0,55.629572,37.651789
682,"ул. инессы арманд, 4 корпус 2",1977,319,9,9,16008.0,55.592541,37.54374
683,"ул. новороссийская, 5 корпус 2",1962,80,4,5,3102.7,55.679681,37.761411
684,"большой коптевский проезд, 10 корпус 1",1973,110,1,16,5254.0,55.80916,37.537461
685,"ул. лобачевского, 41",2011,182,1,25,9469.0,55.689055,37.471327
686,"большой тишинский пер., 2",1982,142,3,12,8083.1,55.768881,37.579142
687,"ул. оренбургская, 8 корпус 1",1954,16,3,2,890.2,55.713238,37.858617
688,"ул. бориса галушкина, 16",1977,103,3,9,6432.0,55.823115,37.65585
689,"ул. тихомирова, 15 корпус 1",1966,72,1,9,2598.0,55.885852,37.651241
690,"ул. озерная, 2 корпус 3",2011,128,2,17,7140.0,55.688558,37.468398
691,"ул. крылатские холмы, 33 корпус 3",2004,98,1,22,11665.0,55.758068,37.419117
692,"ул. лобачевского, 32",1962,80,4,5,3525.0,55.669772,37.505292
693,"ул. большая очаковская, 26",2007,112,2,15,5997.0,55.681691,37.454277
694,"нагатинская наб., 14 корпус 3",1974,98,1,14,4272.0,55.682676,37.650343
695,"ул. вертолетчиков, 1",2017,480,5,25,27885.09,55.700065,37.939735
696,"ш. каширское, 57 корпус 2",1988,128,2,17,7012.3,55.637337,37.696678
697,"ул. футбольная, 26",2013,33,3,3,1564.4,55.514406,37.374012
698,"ш. волоколамское, 1 корпус б",1955,135,5,9,10040.2,55.805432,37.504699
699,"ул. октябрьская, 35",1970,141,4,9,7036.0,55.789684,37.612641
700,"соломенной сторожки проезд, 3",1963,79,4,5,3372.0,55.809474,37.566656
701,"анадырский проезд, 9",1963,52,3,5,2175.0,55.861484,37.679808
702,"большой тишинский пер., 37",1967,84,1,12,3657.4,55.769059,37.570159
703,"пр-кт ленинградский, 75 корпус 1б",1958,159,4,10,12823.7,55.804273,37.51052
704,"ул. первомайская, 116",1985,244,4,16,1255.0,55.792893,37.818481
705,"хвалынский б-р, 1",1993,195,3,17,10831.4,55.699096,37.853263
706,"ул. амурская, 20",1965,140,7,5,6085.2,55.808675,37.768031
707,"ул. ляпидевского, 18",1974,95,1,17,5691.8,55.85871,37.494602
708,"ш. варшавское, 149 корпус 4",1982,110,1,16,5174.3,55.579047,37.60125
709,"путевой проезд, 14",1958,18,2,3,1006.8,55.874006,37.578226
710,"ул. свободы, 67а",2021,161,1,25,8546.5,55.857063,37.448006
711,"ул. таганрогская, 11 корпус 1",1962,75,5,5,3174.0,55.678905,37.754503
712,"ул. михайлова, 30а корпус 3",2020,148,1,18,9071.5,55.724266,37.775712
713,"черницынский проезд, 6 корпус 2",1968,84,1,12,3632.2,55.82178,37.792825
714,"ул. фестивальная, 47",2004,40,2,8,4708.7,55.85868,37.486032
715,"ул. металлургов, 22/22",1965,199,4,5,8974.6,55.757886,37.787785
716,"ул. зои и александра космодемьянских, 42",1993,138,3,15,7929.6,55.824769,37.528334
717,"ул. полярная, 26 корпус 1",1972,78,1,14,3476.0,55.881303,37.639671
718,"ул. руставели, 12/7 корпус б",1955,55,2,5,2498.0,55.811563,37.59374
719,"шмитовский проезд, 46",1975,60,3,5,2559.0,55.755292,37.520231
720,"ул. братская, 21 корпус 1",1969,105,1,16,5759.6,55.749288,37.793894
721,"пр-кт новоясеневский, 21 корпус 1",1977,426,12,9,21269.0,55.602876,37.551708
722,"ул. степана супруна, 4",1974,178,5,12,10810.3,55.796952,37.544575
723,"ул. 1812 года, 4/45 корпус 2",1971,108,3,9,5447.0,55.736549,37.526151
724,"ул. академика миллионщикова, 35 корпус 2",1981,127,2,16,8206.4,55.661181,37.647423
725,"ул. малая полянка, 13",2000,6,1,2,462.2,55.733624,37.616827
726,"ул. летчика бабушкина, 17",1959,80,4,5,3226.0,55.864333,37.672684
727,"ул. рословка, 12 корпус 2",2004,20,3,4,2266.0,55.82801,37.360906
728,"черепановых проезд, 46а",1939,48,4,5,2857.0,55.842231,37.534604
729,"ул. ботаническая, 33 корпус 6",1958,46,3,5,3285.0,55.84072,37.583859
730,"ул. пришвина, 7/1",1976,126,1,16,5756.0,55.88976,37.59551
731,"врачебный, 11 корпус 2",1967,80,4,5,3515.1,55.813602,37.452615
732,"востряковский проезд, 9",1974,191,4,12,9149.7,55.580075,37.642842
733,"глазовский пер., 5",1910,21,1,5,2681.8,55.743933,37.587084
734,"ул. гамалеи, 4",1961,40,2,5,1578.8,55.798272,37.464823
735,"ул. подольских курсантов, 6 корпус 3",1972,142,4,9,7056.2,55.606166,37.612515
736,"пр-кт ленинский, 107 корпус 1",2017,219,3,20,21053.5,55.663618,37.514778
737,"ул. фестивальная, 73 корпус 1",2001,122,2,17,6934.9,55.863439,37.506586
738,"ул. коминтерна, 40",1961,48,3,4,2113.0,55.870036,37.688944
739,"ул. октябрьская, 105",1980,255,4,16,16367.0,55.799502,37.611437
740,"ул. плеханова, 14 корпус 3",1965,60,3,5,2581.1,55.745093,37.763656
741,"ул. ивановская, 22",1961,80,4,5,3520.9,55.822286,37.570905
742,"ул. неглинная, 16/2 строение 4",1913,14,2,3,830.1,55.765073,37.620483
743,"ул. генерала белобородова, 16",1996,203,3,17,11123.0,55.835366,37.355803
744,"ул. барышиха, 38",1993,222,4,14,12216.0,55.851333,37.343353
745,"ракетный б-р, 10",1960,60,3,5,2550.0,55.817456,37.652328
746,"филевский б-р, 1",1982,551,12,12,24712.0,55.764648,37.494449
747,"ул. бирюлевская, 29 корпус 2",1972,191,4,12,9637.1,55.592632,37.667438
748,"шокальского проезд, 29 корпус 1",1966,84,1,12,3621.3,55.880849,37.646956
749,"ул. академика пилюгина, 22 корпус 1",2004,204,2,21,22903.0,55.670387,37.531657
